Transaction ID,Date,Time,Store ID,Product Name,Category,Subcategory,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID,Age,Gender,Income Level,Location,Loyalty Program,Purchase Frequency
T0083,2024-01-15,08:36:04,S004,Washing Machines 108,Home Appliances,Washing Machines,4,13659.26,54637.04,2760.08,Mobile Payment,C0092,27,Female,"75,000-99,999",Bangalore,No,Medium
T0056,2024-02-15,01:14:08,S004,Skincare Products 391,Health and Wellness,Skincare Products,2,52159.51,104319.02,15957.3,Debit Card,C0065,29,Male,"25,000-49,999",Bangalore,Yes,Low
T0082,2024-04-30,06:42:48,S004,Dumbbells 432,Sports and Outdoors,Dumbbells,2,73937.6,147875.2,43012.84,Cash,C0055,51,Female,"50,000-74,999",Bangalore,No,Medium
T0099,2024-01-28,12:31:31,S001,Camping Gear 190,Sports and Outdoors,Camping Gear,4,35479.08,141916.32,20502.98,Credit Card,C0057,44,Female,"50,000-74,999",Bangalore,Yes,High
T0088,2024-02-27,00:01:06,S001,Sunglasses 465,Fashion and Accessories,Sunglasses,1,10341.52,10341.52,2657.65,Mobile Payment,C0092,61,Female,"75,000-99,999",Chennai,No,High
T0020,2024-07-12,08:50:44,S005,Bluetooth Speakers 830,Electronics,Bluetooth Speakers,2,6483.33,12966.66,2517.23,Debit Card,C0083,40,Male,"100,000+",Mumbai,Yes,Low
T0011,2024-07-17,14:20:56,S001,Jackets 643,Fashion and Accessories,Jackets,2,77409.8,154819.6,22132.36,Mobile Payment,C0065,54,Male,"50,000-74,999",Hyderabad,No,Low
T0037,2024-05-05,05:13:27,S002,Hats 710,Fashion and Accessories,Hats,4,77608.38,310433.52,87324.27,Credit Card,C0044,75,Female,"50,000-74,999",Delhi,No,Medium
T0082,2024-01-27,13:49:43,S004,Massage Devices 216,Health and Wellness,Massage Devices,3,74009.68,222029.04,55164.09,Mobile Payment,C0022,51,Female,"75,000-99,999",Chennai,Yes,Medium
T0010,2024-04-30,01:44:28,S003,Vitamins 525,Health and Wellness,Vitamins,2,88152.29,176304.58,35153.88,Debit Card,C001,25,Male,"50,000-74,999",Delhi,Yes,High
T0027,2024-06-25,17:57:14,S002,Gloves 546,Fashion and Accessories,Gloves,1,56357.87,56357.87,16008.35,Cash,C0049,84,Female,"<25,000",Chennai,No,Low
T0093,2024-03-12,14:27:11,S003,Yoga Accessories 304,Health and Wellness,Yoga Accessories,1,55732.34,55732.34,4335.48,Credit Card,C0040,62,Female,"<25,000",Mumbai,Yes,Low
T0045,2024-01-25,00:56:45,S004,Treadmills 313,Sports and Outdoors,Treadmills,5,61376.07,306880.35,42041.6,Credit Card,C0071,78,Male,"50,000-74,999",Mumbai,Yes,Low
T0053,2024-03-01,12:27:28,S003,Dishwashers 916,Home Appliances,Dishwashers,2,41030.33,82060.66,18027.53,Mobile Payment,C0090,70,Female,"100,000+",Bangalore,No,High
T0098,2024-01-22,13:13:33,S005,Refrigerators 544,Home Appliances,Refrigerators,3,25256.43,75769.29,6495.46,Debit Card,C0035,23,Male,"25,000-49,999",Hyderabad,No,Medium
T0037,2024-07-13,09:34:56,S004,Water Bottles 893,Sports and Outdoors,Water Bottles,2,59232.97,118465.94,3348.97,Mobile Payment,C0046,68,Male,"25,000-49,999",Chennai,No,Low
T0040,2024-03-20,16:40:49,S004,Printers 148,Electronics,Printers,3,76783.85,230351.55,17759.29,Mobile Payment,C0039,77,Male,"50,000-74,999",Delhi,No,High
T0060,2024-07-14,07:52:18,S005,Microwave Ovens 767,Home Appliances,Microwave Ovens,5,48323.04,241615.2,29148.08,Mobile Payment,C0023,76,Male,"25,000-49,999",Mumbai,Yes,Low
T0084,2024-03-03,11:52:50,S003,Belts 509,Fashion and Accessories,Belts,2,66321.21,132642.42,17374.67,Debit Card,C004,47,Female,"100,000+",Bangalore,No,Low
T0019,2024-06-13,15:09:55,S003,Protein Powders 596,Health and Wellness,Protein Powders,3,41206.36,123619.08,36352.82,Credit Card,C0084,48,Male,"50,000-74,999",Chennai,Yes,Medium
T007,2024-01-23,02:05:53,S003,Water Bottles 969,Sports and Outdoors,Water Bottles,5,48672.85,243364.25,52460.31,Cash,C0038,75,Female,"100,000+",Delhi,Yes,Medium
T0065,2024-05-01,19:09:40,S001,eBooks 891,Books and Media,eBooks,2,28522.91,57045.82,909.05,Debit Card,C0076,75,Female,"100,000+",Mumbai,No,High
T0016,2024-01-06,13:18:16,S004,Hiking Boots 654,Sports and Outdoors,Hiking Boots,3,62554.0,187662.0,21556.88,Credit Card,C008,73,Female,"100,000+",Hyderabad,Yes,Medium
T0035,2024-02-04,14:50:08,S003,Supplements 139,Health and Wellness,Supplements,2,72080.2,144160.4,17165.56,Cash,C0023,75,Female,"50,000-74,999",Delhi,No,Low
T0061,2024-07-08,18:17:43,S003,Graphic Novels 944,Books and Media,Graphic Novels,4,85750.45,343001.8,25794.88,Cash,C0064,63,Male,"25,000-49,999",Mumbai,Yes,High
T0099,2024-03-17,17:15:15,S002,Protein Powders 791,Health and Wellness,Protein Powders,2,76113.05,152226.1,32548.19,Credit Card,C007,61,Female,"50,000-74,999",Mumbai,No,High
T0047,2024-02-10,23:35:55,S001,Fiction Books 209,Books and Media,Fiction Books,5,1480.81,7404.05,1994.21,Cash,C0060,45,Male,"25,000-49,999",Bangalore,No,Low
T007,2024-02-12,15:34:08,S001,Laptops 228,Electronics,Laptops,4,30261.02,121044.08,12029.47,Credit Card,C0065,42,Male,"50,000-74,999",Chennai,No,Low
T0060,2024-05-19,10:27:34,S001,Essential Oils 935,Health and Wellness,Essential Oils,1,18721.12,18721.12,1540.89,Cash,C0045,61,Female,"<25,000",Hyderabad,Yes,Medium
T0081,2024-01-08,18:13:42,S002,Fitness Equipment 820,Health and Wellness,Fitness Equipment,5,37101.68,185508.4,34339.17,Credit Card,C007,59,Female,"100,000+",Mumbai,No,Medium
T0013,2024-03-29,12:18:19,S004,Hats 964,Fashion and Accessories,Hats,4,48466.22,193864.88,9206.81,Cash,C0066,54,Male,"25,000-49,999",Bangalore,Yes,Low
T005,2024-07-15,12:04:55,S005,Camping Gear 270,Sports and Outdoors,Camping Gear,3,14335.12,43005.36,8707.7,Credit Card,C0054,45,Male,"100,000+",Delhi,Yes,Medium
T0021,2024-05-11,13:32:43,S004,Handbags 996,Fashion and Accessories,Handbags,4,14833.68,59334.72,16857.8,Cash,C0045,37,Female,"75,000-99,999",Bangalore,Yes,High
T0069,2024-02-24,22:00:47,S004,Fitness Trackers 401,Sports and Outdoors,Fitness Trackers,5,33595.4,167977.0,18806.27,Cash,C0058,29,Male,"25,000-49,999",Mumbai,Yes,Medium
T0033,2024-01-03,20:22:24,S001,Air Purifiers 815,Home Appliances,Air Purifiers,3,46165.98,138497.94,4630.22,Credit Card,C0032,45,Female,"50,000-74,999",Bangalore,Yes,High
T009,2024-01-07,12:27:20,S004,Microwave Ovens 306,Home Appliances,Microwave Ovens,4,6881.86,27527.44,7763.3,Mobile Payment,C002,82,Female,"<25,000",Hyderabad,Yes,Low
T0043,2024-02-18,18:45:23,S005,Air Purifiers 491,Home Appliances,Air Purifiers,2,51708.56,103417.12,22351.02,Cash,C0078,27,Female,"100,000+",Chennai,Yes,Medium
T0035,2024-06-04,14:52:00,S002,Yoga Accessories 570,Health and Wellness,Yoga Accessories,5,3014.1,15070.5,3702.48,Mobile Payment,C008,26,Male,"100,000+",Hyderabad,Yes,High
T0087,2024-06-03,19:35:56,S005,Digital Cameras 525,Electronics,Digital Cameras,3,68444.86,205334.58,40081.47,Debit Card,C0031,46,Female,"25,000-49,999",Bangalore,No,Low
T0038,2024-02-29,23:58:34,S004,Refrigerators 441,Home Appliances,Refrigerators,2,56352.83,112705.66,11460.25,Cash,C0015,30,Female,"25,000-49,999",Mumbai,Yes,Medium
T0099,2024-02-12,20:00:05,S003,Skincare Products 525,Health and Wellness,Skincare Products,4,15123.23,60492.92,8036.25,Debit Card,C006,53,Female,"100,000+",Delhi,No,High
T0036,2024-04-26,21:08:03,S003,Hats 763,Fashion and Accessories,Hats,3,74334.9,223004.7,37662.26,Cash,C0062,33,Male,"<25,000",Delhi,No,Medium
T0078,2024-03-24,12:23:14,S003,Essential Oils 640,Health and Wellness,Essential Oils,1,68585.72,68585.72,14043.59,Credit Card,C0068,83,Male,"50,000-74,999",Delhi,No,Low
T0078,2024-04-07,19:17:46,S003,Fitness Trackers 570,Sports and Outdoors,Fitness Trackers,1,95131.58,95131.58,14010.73,Credit Card,C0095,60,Male,"50,000-74,999",Bangalore,No,Medium
T0027,2024-06-22,00:18:24,S005,Watches 114,Fashion and Accessories,Watches,5,57362.39,286811.95,35096.8,Cash,C0086,57,Male,"25,000-49,999",Bangalore,Yes,Low
T0083,2024-05-27,00:37:57,S001,Comic Books 443,Books and Media,Comic Books,5,73388.44,366942.2,60425.72,Mobile Payment,C0089,68,Male,"75,000-99,999",Chennai,No,Low
T0074,2024-06-14,23:58:54,S001,Skincare Products 162,Health and Wellness,Skincare Products,4,37049.52,148198.08,33758.72,Mobile Payment,C0014,56,Male,"25,000-49,999",Delhi,Yes,High
T0091,2024-03-12,10:36:03,S002,Haircare Products 908,Health and Wellness,Haircare Products,5,12506.28,62531.4,7250.53,Cash,C0085,57,Female,"75,000-99,999",Hyderabad,No,High
T0033,2024-02-01,20:47:55,S005,Yoga Mats 413,Sports and Outdoors,Yoga Mats,3,60447.53,181342.59,45356.41,Credit Card,C0022,69,Female,"50,000-74,999",Delhi,No,Medium
T0027,2024-01-13,12:52:21,S004,Blenders 226,Home Appliances,Blenders,5,15181.96,75909.8,5299.62,Cash,C0054,78,Male,"<25,000",Hyderabad,No,Medium
T0041,2024-03-27,00:26:18,S005,Vinyl Records 744,Books and Media,Vinyl Records,3,26995.49,80986.47,16606.99,Mobile Payment,C0064,61,Male,"100,000+",Delhi,Yes,High
T0018,2024-06-11,21:11:23,S001,DVDs 104,Books and Media,DVDs,1,13849.31,13849.31,1870.63,Credit Card,C0014,80,Female,"100,000+",Chennai,Yes,Low
T0055,2024-04-12,07:00:34,S002,Running Shoes 237,Sports and Outdoors,Running Shoes,3,73922.84,221768.52,40514.64,Debit Card,C0012,48,Male,"<25,000",Mumbai,No,High
T0098,2024-04-03,04:54:38,S003,Laptops 283,Electronics,Laptops,5,60509.65,302548.25,9428.9,Debit Card,C0078,44,Female,"75,000-99,999",Bangalore,No,High
T0078,2024-01-30,16:51:10,S002,Hiking Boots 389,Sports and Outdoors,Hiking Boots,3,22006.23,66018.69,13902.3,Credit Card,C0024,54,Male,"25,000-49,999",Bangalore,Yes,Medium
T007,2024-06-16,10:24:12,S004,Printers 212,Electronics,Printers,2,4391.5,8783.0,482.99,Debit Card,C0089,61,Male,"<25,000",Hyderabad,Yes,Low
T0025,2024-04-14,09:01:30,S001,Laptops 574,Electronics,Laptops,1,86981.59,86981.59,2829.41,Credit Card,C0074,41,Male,"<25,000",Mumbai,No,Medium
T0044,2024-05-13,00:37:57,S003,Graphic Novels 936,Books and Media,Graphic Novels,2,86414.34,172828.68,31617.89,Cash,C0081,52,Female,"100,000+",Mumbai,No,High
T0070,2024-01-12,09:13:30,S004,Audiobooks 867,Books and Media,Audiobooks,1,54523.92,54523.92,7110.52,Cash,C0099,39,Female,"50,000-74,999",Bangalore,No,Medium
T0055,2024-04-01,02:42:34,S001,Gloves 898,Fashion and Accessories,Gloves,3,81607.52,244822.56,4881.77,Mobile Payment,C0047,54,Female,"<25,000",Bangalore,Yes,High
T0065,2024-02-13,10:22:24,S003,Magazines 787,Books and Media,Magazines,4,20473.17,81892.68,23246.54,Mobile Payment,C0062,70,Male,"75,000-99,999",Bangalore,Yes,Low
T0094,2024-03-03,23:07:52,S005,Home Assistants 576,Electronics,Home Assistants,1,12784.74,12784.74,731.34,Credit Card,C0058,27,Female,"100,000+",Bangalore,No,Medium
T0015,2024-01-09,05:43:51,S003,eBooks 340,Books and Media,eBooks,1,30291.71,30291.71,4256.33,Debit Card,C0097,81,Male,"50,000-74,999",Chennai,Yes,Low
T0072,2024-01-24,11:03:55,S001,Magazines 507,Books and Media,Magazines,5,12546.43,62732.15,3666.65,Debit Card,C0020,35,Male,"25,000-49,999",Mumbai,No,High
T0066,2024-03-28,18:01:01,S001,Routers 998,Electronics,Routers,1,58051.01,58051.01,14301.27,Credit Card,C0015,42,Female,"100,000+",Hyderabad,Yes,Low
T0011,2024-05-25,03:51:41,S004,Sunglasses 696,Fashion and Accessories,Sunglasses,1,20706.29,20706.29,2596.47,Cash,C0025,58,Male,"75,000-99,999",Bangalore,Yes,Medium
T0065,2024-02-18,00:09:20,S001,Jewelry 641,Fashion and Accessories,Jewelry,4,64751.66,259006.64,16675.46,Mobile Payment,C0048,63,Female,"100,000+",Hyderabad,No,High
T0098,2024-02-28,15:48:29,S002,Refrigerators 276,Home Appliances,Refrigerators,2,67883.81,135767.62,25107.4,Debit Card,C0043,40,Male,"75,000-99,999",Bangalore,No,Medium
T0084,2024-06-26,03:18:54,S005,Handbags 941,Fashion and Accessories,Handbags,5,60936.81,304684.05,64584.82,Debit Card,C0012,22,Female,"<25,000",Delhi,Yes,Medium
T0044,2024-02-21,00:49:55,S002,Scarves 486,Fashion and Accessories,Scarves,5,65676.74,328383.7,64287.71,Cash,C0041,76,Female,"50,000-74,999",Mumbai,No,Medium
T0052,2024-03-13,00:26:32,S003,CDs 485,Books and Media,CDs,4,76346.54,305386.16,66737.77,Credit Card,C0050,25,Female,"100,000+",Bangalore,Yes,Low
T0021,2024-02-03,04:48:52,S005,Non-Fiction Books 227,Books and Media,Non-Fiction Books,3,23934.52,71803.56,4893.54,Credit Card,C0023,33,Male,"100,000+",Chennai,Yes,Low
T0047,2024-02-24,19:21:56,S004,Graphic Novels 174,Books and Media,Graphic Novels,5,19086.21,95431.05,9639.43,Debit Card,C0096,80,Female,"100,000+",Hyderabad,No,High
T0077,2024-02-17,10:40:25,S003,Printers 864,Electronics,Printers,4,8453.75,33815.0,8665.27,Cash,C0050,66,Male,"25,000-49,999",Delhi,Yes,High
T0092,2024-06-18,16:25:42,S003,Refrigerators 805,Home Appliances,Refrigerators,1,68924.69,68924.69,13532.98,Credit Card,C0042,70,Male,"75,000-99,999",Delhi,Yes,Low
T002,2024-05-31,11:08:34,S004,Smartphones 810,Electronics,Smartphones,3,43446.25,130338.75,21115.64,Cash,C0066,50,Female,"75,000-99,999",Mumbai,Yes,High
T0053,2024-02-27,01:03:47,S003,Vitamins 568,Health and Wellness,Vitamins,1,56969.05,56969.05,13999.57,Credit Card,C0098,42,Male,"25,000-49,999",Hyderabad,No,High
T0030,2024-04-30,16:25:17,S004,Yoga Mats 972,Sports and Outdoors,Yoga Mats,3,27054.13,81162.39,5419.08,Debit Card,C0042,43,Female,"<25,000",Bangalore,No,High
T0063,2024-05-04,22:00:09,S005,Yoga Mats 116,Sports and Outdoors,Yoga Mats,5,1900.42,9502.1,2543.08,Debit Card,C0055,26,Female,"100,000+",Chennai,Yes,Medium
T0042,2024-01-23,23:39:02,S002,Air Purifiers 974,Home Appliances,Air Purifiers,1,95128.64,95128.64,20337.16,Debit Card,C0077,68,Female,"<25,000",Bangalore,No,High
T0093,2024-05-25,23:18:32,S001,Digital Cameras 423,Electronics,Digital Cameras,3,47730.87,143192.61,42502.04,Credit Card,C0053,45,Male,"25,000-49,999",Delhi,No,Low
T005,2024-07-06,21:07:22,S005,Microwave Ovens 629,Home Appliances,Microwave Ovens,4,54307.56,217230.24,18304.13,Credit Card,C0058,83,Male,"25,000-49,999",Mumbai,Yes,High
T0080,2024-01-16,06:40:33,S004,Vacuum Cleaners 518,Home Appliances,Vacuum Cleaners,4,6150.53,24602.12,3108.41,Cash,C0081,76,Male,"100,000+",Bangalore,No,Medium
T0078,2024-04-28,01:17:37,S004,Blenders 760,Home Appliances,Blenders,2,88731.58,177463.16,30606.58,Cash,C0063,50,Male,"50,000-74,999",Bangalore,No,High
T0015,2024-05-16,15:48:49,S002,Routers 367,Electronics,Routers,5,76525.32,382626.6,14760.71,Debit Card,C0097,68,Male,"25,000-49,999",Bangalore,Yes,Medium
T0024,2024-03-11,06:56:25,S002,Electric Kettles 625,Home Appliances,Electric Kettles,5,14609.0,73045.0,9555.88,Credit Card,C0050,57,Male,"75,000-99,999",Hyderabad,No,Low
T003,2024-02-27,12:09:57,S004,Running Shoes 492,Sports and Outdoors,Running Shoes,4,12534.22,50136.88,10440.29,Mobile Payment,C0081,59,Male,"75,000-99,999",Delhi,No,High
T0098,2024-01-11,00:04:27,S004,Yoga Mats 375,Sports and Outdoors,Yoga Mats,3,78144.9,234434.7,4123.99,Cash,C0069,68,Female,"25,000-49,999",Hyderabad,No,High
T0096,2024-02-15,15:46:57,S005,Essential Oils 823,Health and Wellness,Essential Oils,3,57754.63,173263.89,32051.01,Credit Card,C0022,49,Male,"<25,000",Hyderabad,No,Low
T0056,2024-04-15,07:16:18,S002,Non-Fiction Books 691,Books and Media,Non-Fiction Books,2,76712.83,153425.66,26742.72,Debit Card,C0034,28,Male,"<25,000",Chennai,No,Low
T0019,2024-05-08,06:21:32,S004,eBooks 928,Books and Media,eBooks,5,12916.89,64584.45,5998.92,Cash,C0022,81,Female,"50,000-74,999",Chennai,No,Low
T0013,2024-01-02,07:47:18,S004,Electric Kettles 774,Home Appliances,Electric Kettles,2,30767.89,61535.78,14051.83,Debit Card,C0050,44,Male,"75,000-99,999",Mumbai,Yes,Low
T00100,2024-05-03,13:53:08,S002,Handbags 504,Fashion and Accessories,Handbags,1,48647.06,48647.06,5979.19,Credit Card,C0068,22,Male,"100,000+",Chennai,No,Low
T0029,2024-02-24,12:34:02,S005,Yoga Accessories 539,Health and Wellness,Yoga Accessories,4,73062.24,292248.96,1397.45,Cash,C0044,63,Male,"50,000-74,999",Delhi,No,Low
T0080,2024-05-06,00:26:22,S002,Bicycles 871,Sports and Outdoors,Bicycles,3,2534.96,7604.88,390.43,Mobile Payment,C0072,67,Female,"50,000-74,999",Delhi,No,High
T0019,2024-02-02,22:43:54,S004,Vinyl Records 813,Books and Media,Vinyl Records,5,86015.14,430075.7,90928.73,Debit Card,C0094,67,Male,"25,000-49,999",Hyderabad,Yes,Low
T0019,2024-05-14,06:01:40,S003,Fitness Trackers 966,Sports and Outdoors,Fitness Trackers,1,95515.13,95515.13,28041.76,Mobile Payment,C0091,48,Female,"<25,000",Chennai,Yes,Medium
T0069,2024-04-10,08:40:22,S002,Shoes 423,Fashion and Accessories,Shoes,2,2126.64,4253.28,508.87,Mobile Payment,C003,59,Male,"<25,000",Chennai,Yes,High
T0048,2024-07-13,12:55:21,S004,CDs 732,Books and Media,CDs,4,61820.23,247280.92,73433.98,Cash,C0064,84,Female,"75,000-99,999",Mumbai,No,Medium
T0086,2024-01-31,18:35:08,S002,Massage Devices 813,Health and Wellness,Massage Devices,4,26187.99,104751.96,329.67,Cash,C0029,25,Female,"75,000-99,999",Bangalore,No,Low
T0043,2024-02-06,11:57:34,S001,Water Heaters 450,Home Appliances,Water Heaters,5,82151.26,410756.3,41309.72,Mobile Payment,C0063,80,Male,"75,000-99,999",Chennai,No,Medium
T0069,2024-05-21,18:18:07,S002,Non-Fiction Books 633,Books and Media,Non-Fiction Books,1,50950.19,50950.19,11232.83,Cash,C0087,83,Female,"<25,000",Mumbai,No,Low
T00100,2024-01-31,15:50:18,S005,Fiction Books 237,Books and Media,Fiction Books,3,79743.15,239229.45,66615.9,Cash,C0042,22,Male,"75,000-99,999",Delhi,No,High
T0092,2024-04-27,22:51:51,S004,Jewelry 626,Fashion and Accessories,Jewelry,1,21250.22,21250.22,4524.5,Credit Card,C009,54,Male,"100,000+",Bangalore,No,Low
T0028,2024-04-15,07:11:15,S004,Graphic Novels 603,Books and Media,Graphic Novels,3,17512.92,52538.76,2089.27,Debit Card,C0098,72,Female,"100,000+",Bangalore,No,High
T0056,2024-01-09,09:57:28,S001,Gloves 736,Fashion and Accessories,Gloves,1,43294.73,43294.73,10230.06,Credit Card,C0073,62,Female,"100,000+",Bangalore,No,Medium
T0070,2024-02-03,08:17:55,S004,Graphic Novels 756,Books and Media,Graphic Novels,3,60690.62,182071.86,37873.25,Credit Card,C00100,84,Female,"50,000-74,999",Hyderabad,Yes,Medium
T0082,2024-04-18,13:58:27,S003,Sunglasses 622,Fashion and Accessories,Sunglasses,4,81992.21,327968.84,47052.17,Debit Card,C0087,29,Male,"100,000+",Chennai,Yes,Low
T0077,2024-05-05,22:16:16,S005,Jewelry 168,Fashion and Accessories,Jewelry,4,11848.31,47393.24,10256.3,Cash,C0027,48,Female,"75,000-99,999",Delhi,No,Medium
T0069,2024-01-13,12:44:17,S003,Gloves 806,Fashion and Accessories,Gloves,2,33682.85,67365.7,5703.01,Debit Card,C0097,59,Male,"25,000-49,999",Delhi,No,Low
T0041,2024-04-05,21:57:51,S004,Home Assistants 977,Electronics,Home Assistants,2,85150.91,170301.82,2341.28,Mobile Payment,C0097,23,Female,"50,000-74,999",Chennai,No,High
T0088,2024-01-27,00:09:26,S004,Protein Powders 521,Health and Wellness,Protein Powders,1,94305.78,94305.78,1001.07,Credit Card,C0046,34,Female,"25,000-49,999",Chennai,No,Medium
T002,2024-04-09,10:03:57,S002,Fitness Trackers 211,Sports and Outdoors,Fitness Trackers,1,33270.93,33270.93,1535.18,Credit Card,C0044,76,Male,"75,000-99,999",Bangalore,No,High
T0071,2024-03-14,05:45:11,S002,Hiking Boots 615,Sports and Outdoors,Hiking Boots,2,96905.03,193810.06,14436.11,Debit Card,C0058,48,Female,"50,000-74,999",Mumbai,No,Low
T0027,2024-05-25,03:13:46,S002,Water Bottles 230,Sports and Outdoors,Water Bottles,4,73185.84,292743.36,47712.61,Mobile Payment,C0021,43,Male,"75,000-99,999",Hyderabad,Yes,Low
